2010/05/25 18:07, P03, Task01,,
2010/05/25 18:19, System, Dialling 0776662255,,
2010/05/25 18:20, System, Please, go to the next task,
2010/05/25 18:20, Driver, Callback,,
2010/05/25 18:20, System, Do you want to call back the last incoming contact John Doe ? Say 'Yes' or 'No' ,,
2010/05/25 18:20, Driver, Eight,,
2010/05/25 18:20, Driver, Yes,,
2010/05/25 18:20, System, Calling John Doe,,
2010/05/25 18:20, System, Please, go to the next task,
2010/05/25 18:20, Driver, Dial Felix,,
2010/05/25 18:20, System, Do you want to call Felix. Say 'Yes' or 'No',,
2010/05/25 18:20, Driver, No,,
2010/05/25 18:20, System, Cancelling the call request.,,
2010/05/25 18:20, Driver, Send message to Patrick,,
2010/05/25 18:20, System, Do you want to  send a text message to Patrick. Say 'Yes' or 'No',,
2010/05/25 18:21, Driver, Yes,,
2010/05/25 18:21, System, Choose between the following options,,
2010/05/25 18:21, System, 1- I am running late,,
2010/05/25 18:21, System, 2- Appointment postponed,,
2010/05/25 18:21, System, 3- I will call you later,,
2010/05/25 18:21, Driver, One,,
2010/05/25 18:21, System, Sending the text message 1- I am running late,,
2010/05/25 18:21, System, Please, go to the next task,
2010/05/25 18:21, Driver, Sms Andre,,
2010/05/25 18:21, System, Do you want to  send a text message to Andre. Say 'Yes' or 'No',,
2010/05/25 18:21, Driver, Yes,,
2010/05/25 18:21, System, Choose between the following options,,
2010/05/25 18:21, System, 1- I am running late,,
2010/05/25 18:22, System, 2- Appointment postponed,,
2010/05/25 18:22, System, 3- I will call you later,,
2010/05/25 18:22, Driver, Three,,
2010/05/25 18:22, System, Sending the text message 3- I will call you later,,
2010/05/25 18:22, System, Please, go to the next task,
2010/05/25 18:22, Driver, <Button> Send Message,,
2010/05/25 18:22, Driver, Zero,,
2010/05/25 18:22, Driver, Zero,,
2010/05/25 18:22, Driver, Seven,,
2010/05/25 18:22, Driver, Three,,
2010/05/25 18:22, Driver, triple two,,
2010/05/25 18:22, Driver, One,,
2010/05/25 18:22, Driver, Two,,
2010/05/25 18:22, Driver, Janet,,
2010/05/25 18:22, System, Do you want to  send a text message to Janet. Say 'Yes' or 'No',,
2010/05/25 18:22, Driver, No,,
2010/05/25 18:22, System, Cancelling the message request.,,
2010/05/25 18:22, Driver, <Button> Send Message,,
2010/05/25 18:23, Driver, Zero,,
2010/05/25 18:23, Driver, Seven,,
2010/05/25 18:23, Driver, Three,,
2010/05/25 18:23, Driver, triple three,,
2010/05/25 18:23, Driver, One,,
2010/05/25 18:23, Driver, Two,,
2010/05/25 18:23, Driver, Two,,
2010/05/25 18:23, Driver, Four,,
2010/05/25 18:23, System, Do you want to send a text message to 0733331224. Say 'Yes' or 'No',,
2010/05/25 18:23, Driver, Yes,,
2010/05/25 18:23, System, Choose between the following options,,
2010/05/25 18:23, System, 1- I am running late,,
2010/05/25 18:23, System, 2- Appointment postponed,,
2010/05/25 18:23, System, 3- I will call you later,,
2010/05/25 18:23, Driver, Phone,,
2010/05/25 18:23, System, Do you want to send a text message to 0733331224. Say 'Yes' or 'No',,
2010/05/25 18:24, Driver, Yes,,
2010/05/25 18:24, System, Choose between the following options,,
2010/05/25 18:24, System, 1- I am running late,,
2010/05/25 18:24, System, 2- Appointment postponed,,
2010/05/25 18:24, System, 3- I will call you later,,
2010/05/25 18:24, Driver, Two,,
2010/05/25 18:24, System, Sending the text message 2- Appointment postponed,,
2010/05/25 18:24, System, Please, go to the next task,
2010/05/25 20:40, TEST, Task01,,
2010/05/25 20:48, TEST, Task01,,
2010/05/25 20:48, TEST, Task01,,
2010/05/25 23:44, TEST, Task01,,
2010/05/25 23:44, Driver, <Button> Call,,
2010/05/25 23:44, Driver, Call,,
2010/05/25 23:44, Driver, Call Patrick,,
2010/05/25 23:44, System, Do you want to call Patrick. Say 'Yes' or 'No',,
2010/05/25 23:44, Driver, Yeah,,
2010/05/25 23:44, System, Calling Patrick on 0768354159,,
2010/05/25 23:44, System, Please, go to the next task,
2010/05/25 23:45, Driver, Dial Felix,,
2010/05/25 23:45, System, Do you want to call Felix. Say 'Yes' or 'No',,
2010/05/25 23:45, Driver, Yes,,
2010/05/25 23:45, System, Calling Felix on 0789954545,,
2010/05/25 23:45, System, Please, go to the next task,
2010/05/25 23:45, Driver, <Button> Call,,
2010/05/25 23:45, Driver, Call,,
2010/05/25 23:45, Driver, Three,,
2010/05/25 23:45, Driver, double seven,,
2010/05/25 23:45, Driver, triple o,,
2010/05/25 23:45, Driver, double o,,
2010/05/25 23:45, Driver, double two,,
2010/05/25 23:45, Driver, Call,,
2010/05/25 23:45, System, Sorry, your number 3 7 7 0 0 0 0 0 2 2  is  is not valid . Cancelling the command...,
2010/05/25 23:45, Driver, <Button> Call,,
2010/05/25 23:45, Driver, Call,,
2010/05/25 23:45, Driver, Zero,,
2010/05/25 23:45, Driver, Three,,
2010/05/25 23:45, Driver, Three,,
2010/05/25 23:46, Driver, Four,,
2010/05/25 23:46, Driver, Two,,
2010/05/25 23:46, Driver, Two,,
2010/05/25 23:46, Driver, double one,,
2010/05/25 23:46, Driver, double one,,
2010/05/25 23:46, Driver, Dial,,
2010/05/25 23:46, System, Do you want to dial 0 3 3 4 2 2 1 1 1 1 . Say 'Yes' or 'No',,
2010/05/25 23:46, Driver, Yeah,,
2010/05/25 23:46, System, Dialling 0 3 3 4 2 2 1 1 1 1 ,,
2010/05/25 23:46, System, Please, go to the next task,
2010/05/26 09:13, TEST, Task01,,
2010/05/26 09:14, TEST, Task01,,
2010/05/26 09:28, TEST, Task01,,
2010/05/26 09:28, Driver, What time is it?,,
2010/05/26 09:28, System, the time is 9  28,,
2010/05/26 09:29, System, the time is 9  28,,
2010/05/26 09:29, Driver, Repeat,,
2010/05/26 09:29, Driver, <Button> Call,,
2010/05/26 09:29, Driver, Call,,
2010/05/26 09:29, Driver, Call,,
2010/05/26 09:29, System, Sorry, your number  is  too short . Cancelling the command...,
2010/05/26 09:29, Driver, <Button> Call,,
2010/05/26 09:29, Driver, Call,,
2010/05/26 09:29, Driver, Zero,,
2010/05/26 09:29, Driver, Zero,,
2010/05/26 09:29, Driver, Six,,
2010/05/26 09:29, Driver, Eight,,
2010/05/26 09:29, Driver, Three,,
2010/05/26 09:29, Driver, Five,,
2010/05/26 09:29, Driver, Four,,
2010/05/26 09:29, Driver, One,,
2010/05/26 09:29, Driver, Five,,
2010/05/26 09:29, Driver, Nine,,
2010/05/26 09:29, Driver, Call,,
2010/05/26 09:29, System, Do you want to dial 0 0 6 8 3 5 4 1 5 9 . Say 'Yes' or 'No',,
2010/05/26 09:30, Driver, Yes,,
2010/05/26 09:30, System, Dialling 0 0 6 8 3 5 4 1 5 9 ,,
2010/05/26 09:30, System, Please, go to the next task,
,,,,
2010/05/26 09:30, P04, Task01,,
2010/05/26 09:30, Driver, <Button> Call,,
2010/05/26 09:30, Driver, Call,,
2010/05/26 09:30, Driver, Patrick,,
2010/05/26 09:30, System, Do you want to call Patrick. Say 'Yes' or 'No',,
2010/05/26 09:30, Driver, Yes,,
2010/05/26 09:30, System, Calling Patrick on 0768354159,,
2010/05/26 09:31, System, Please, go to the next task,
2010/05/26 09:31, Driver, Dial Felix,,
2010/05/26 09:31, System, Do you want to call Felix. Say 'Yes' or 'No',,
2010/05/26 09:31, Driver, Yes,,
2010/05/26 09:31, System, Calling Felix on 0789954545,,
2010/05/26 09:31, System, Please, go to the next task,
2010/05/26 09:31, Driver, <Button> Call,,
2010/05/26 09:31, Driver, Janet,,
2010/05/26 09:31, System, Do you want to call Janet. Say 'Yes' or 'No',,
2010/05/26 09:32, Driver, Yes,,
2010/05/26 09:32, System, Calling Janet on 0827743624,,
2010/05/26 09:32, System, Please, go to the next task,
2010/05/26 09:32, Driver, <Button> Call,,
2010/05/26 09:32, Driver, Call,,
2010/05/26 09:32, Driver, Zero,,
2010/05/26 09:32, Driver, Seven,,
2010/05/26 09:32, Driver, Seven,,
2010/05/26 09:32, Driver, Four,,
2010/05/26 09:32, Driver, Four,,
2010/05/26 09:32, Driver, Four,,
2010/05/26 09:32, Driver, Five,,
2010/05/26 09:32, Driver, Five,,
2010/05/26 09:32, Driver, Five,,
2010/05/26 09:32, Driver, Five,,
2010/05/26 09:32, System, Do you want to dial 0 7 7 4 4 4 5 5 5 5 . Say 'Yes' or 'No',,
2010/05/26 09:32, Driver, Yes,,
2010/05/26 09:32, System, Dialling 0 7 7 4 4 4 5 5 5 5 ,,
2010/05/26 09:33, System, Please, go to the next task,
2010/05/26 09:33, Driver, <Button> Call,,
2010/05/26 09:33, Driver, Call,,
2010/05/26 09:33, Driver, Zero,,
2010/05/26 09:33, Driver, Seven,,
2010/05/26 09:33, Driver, Two,,
2010/05/26 09:33, Driver, triple two,,
2010/05/26 09:33, Driver, double three,,
2010/05/26 09:33, Driver, double three,,
2010/05/26 09:33, System, Do you want to dial 0 7 2 2 2 2 3 3 3 3 . Say 'Yes' or 'No',,
2010/05/26 09:33, Driver, Yes,,
2010/05/26 09:33, System, Dialling 0 7 2 2 2 2 3 3 3 3 ,,
2010/05/26 09:33, System, Please, go to the next task,
2010/05/26 09:34, Driver, <Button> Call,,
2010/05/26 09:34, Driver, Call,,
2010/05/26 09:34, Driver, Eight,,
2010/05/26 09:34, Driver, double eight,,
2010/05/26 09:34, Driver, triple one,,
2010/05/26 09:34, Driver, Six,,
2010/05/26 09:34, Driver, triple six,,
2010/05/26 09:34, System, Sorry, your number 8 8 8 1 1 1 6 6 6 6  is  is not valid . Cancelling the command...,
2010/05/26 09:35, Driver, <Button> Call,,
2010/05/26 09:35, Driver, Zero,,
2010/05/26 09:35, Driver, double seven,,
2010/05/26 09:35, Driver, triple six,,
2010/05/26 09:35, Driver, double two,,
2010/05/26 09:35, Driver, double five,,
2010/05/26 09:35, System, Do you want to dial 0 7 7 6 6 6 2 2 5 5 . Say 'Yes' or 'No',,
2010/05/26 09:35, Driver, Yes,,
2010/05/26 09:35, System, Dialling 0 7 7 6 6 6 2 2 5 5 ,,
2010/05/26 09:35, System, Please, go to the next task,
2010/05/26 09:35, Driver, Redial,,
2010/05/26 09:35, System, Do you want to redial the last number 0 7 7 6 6 6 2 2 5 5  ? Say 'Yes' or 'No',,
2010/05/26 09:36, Driver, Yes,,
2010/05/26 09:36, System, Dialling 0 7 7 6 6 6 2 2 5 5 ,,
2010/05/26 09:36, System, Please, go to the next task,
2010/05/26 09:36, Driver, Callback,,
2010/05/26 09:36, System, Do you want to call back the last incoming contact John Doe ? Say 'Yes' or 'No' ,,
2010/05/26 09:36, Driver, Yes,,
2010/05/26 09:36, System, Calling John Doe,,
2010/05/26 09:36, System, Please, go to the next task,
2010/05/26 09:36, Driver, Send message to Patrick,,
2010/05/26 09:36, System, Do you want to  send a text message to Patrick. Say 'Yes' or 'No',,
2010/05/26 09:37, Driver, Yes,,
2010/05/26 09:37, System, Choose between the following options,,
2010/05/26 09:37, System, 1- I am running late,,
2010/05/26 09:37, System, 2- Appointment postponed,,
2010/05/26 09:37, System, 3- I will call you later,,
2010/05/26 09:37, Driver, One,,
2010/05/26 09:37, System, Sending the text message 1- I am running late,,
2010/05/26 09:37, System, Please, go to the next task,
2010/05/26 09:37, Driver, Sms Andre,,
2010/05/26 09:37, System, Do you want to  send a text message to Andre. Say 'Yes' or 'No',,
2010/05/26 09:37, Driver, Yes,,
2010/05/26 09:37, System, Choose between the following options,,
2010/05/26 09:37, System, 1- I am running late,,
2010/05/26 09:37, System, 2- Appointment postponed,,
2010/05/26 09:38, System, 3- I will call you later,,
2010/05/26 09:38, Driver, Three,,
2010/05/26 09:38, System, Sending the text message 3- I will call you later,,
2010/05/26 09:38, System, Please, go to the next task,
2010/05/26 09:39, P04, Task11,,
2010/05/26 09:40, Driver, <Button> Send Message,,
2010/05/26 09:40, Driver, Zero,,
2010/05/26 09:40, Driver, Seven,,
2010/05/26 09:40, Driver, Three,,
2010/05/26 09:40, Driver, triple one,,
2010/05/26 09:40, Driver, One,,
2010/05/26 09:40, Driver, Two,,
2010/05/26 09:40, Driver, Three,,
2010/05/26 09:40, Driver, Four,,
2010/05/26 09:40, System, Do you want to send a text message to 0 7 3 1 1 1 1 2 3 4 . Say 'Yes' or 'No',,
2010/05/26 09:40, Driver, Yes,,
2010/05/26 09:40, System, Do you want to send a text message to 0 7 3 1 1 1 1 2 3 4 . Say 'Yes' or 'No',,
2010/05/26 09:40, System, Choose between the following options,,
2010/05/26 09:40, System, 1- I am running late,,
2010/05/26 09:40, System, 2- Appointment postponed,,
2010/05/26 09:40, System, 3- I will call you later,,
2010/05/26 09:40, Driver, Two,,
2010/05/26 09:40, System, Do you want to send a text message to 0 7 3 1 1 1 1 2 3 4 . Say 'Yes' or 'No',,
2010/05/26 09:41, Driver, Yes,,
2010/05/26 09:41, System, Sorry, your number 0 7 3 1 1 1 1 2 3 4 2  is  is not valid . Cancelling the command...,
2010/05/26 09:41, Driver, Restart,,
2010/05/26 09:41, System, Cancelling...,,
2010/05/26 09:41, Driver, <Button> Send Message,,
2010/05/26 09:41, Driver, Zero,,
2010/05/26 09:41, Driver, Seven,,
2010/05/26 09:41, Driver, Three,,
2010/05/26 09:41, Driver, triple one,,
2010/05/26 09:41, Driver, One,,
2010/05/26 09:41, Driver, Two,,
2010/05/26 09:41, Driver, Three,,
2010/05/26 09:41, Driver, Four,,
2010/05/26 09:41, System, Do you want to send a text message to 0 7 3 1 1 1 1 2 3 4 . Say 'Yes' or 'No',,
2010/05/26 09:42, System, Choose between the following options,,
2010/05/26 09:42, System, 1- I am running late,,
2010/05/26 09:42, System, 2- Appointment postponed,,
2010/05/26 09:42, System, 3- I will call you later,,
2010/05/26 09:42, Driver, Two,,
2010/05/26 09:42, System, Do you want to send a text message to 0 7 3 1 1 1 1 2 3 4 . Say 'Yes' or 'No',,
2010/05/26 09:42, Driver, Yes,,
2010/05/26 09:42, System, Sorry, your number 0 7 3 1 1 1 1 2 3 4 2  is  is not valid . Cancelling the command...,
2010/05/26 09:43, P04, Task01,,
2010/05/26 09:43, Driver, <Button> Send Message,,
2010/05/26 09:43, Driver, Zero,,
2010/05/26 09:43, Driver, Seven,,
2010/05/26 09:43, Driver, Three,,
2010/05/26 09:44, Driver, triple one,,
2010/05/26 09:44, Driver, One,,
2010/05/26 09:44, Driver, Two,,
2010/05/26 09:44, Driver, Three,,
2010/05/26 09:44, Driver, Four,,
2010/05/26 09:44, System, Do you want to send a text message to 0 7 3 1 1 1 1 2 3 4 . Say 'Yes' or 'No',,
2010/05/26 09:44, Driver, Yes,,
2010/05/26 09:44, System, Do you want to send a text message to 0 7 3 1 1 1 1 2 3 4 . Say 'Yes' or 'No',,
2010/05/26 09:44, System, Choose between the following options,,
2010/05/26 09:44, System, 1- I am running late,,
2010/05/26 09:44, System, 2- Appointment postponed,,
2010/05/26 09:44, System, 3- I will call you later,,
2010/05/26 09:48, P04, Task01,,
2010/05/26 09:48, Driver, <Button> Send Message,,
2010/05/26 09:48, Driver, Send,,
2010/05/26 09:48, Driver, Zero,,
2010/05/26 09:48, Driver, Zero,,
2010/05/26 09:48, Driver, Three,,
2010/05/26 09:48, Driver, triple one,,
2010/05/26 09:48, Driver, One,,
2010/05/26 09:48, Driver, Call,,
2010/05/26 09:48, System, Sorry, your number 0 0 3 1 1 1 1  is  too short . Cancelling the command...,
2010/05/26 09:48, Driver, <Button> Send Message,,
2010/05/26 09:49, Driver, Zero,,
2010/05/26 09:49, Driver, Zero,,
2010/05/26 09:49, Driver, Six,,
2010/05/26 09:49, Driver, double two,,
2010/05/26 09:49, Driver, One,,
2010/05/26 09:49, Driver, Call,,
2010/05/26 09:49, System, Sorry, your number 0 0 6 2 2 1  is  too short . Cancelling the command...,
2010/05/26 09:50, Driver, <Button> Call,,
2010/05/26 09:50, Driver, Call,,
2010/05/26 09:50, Driver, Restart,,
2010/05/26 09:50, System, Cancelling...,,
2010/05/26 09:50, Driver, Sms,,
2010/05/26 09:51, Driver, Call,,
2010/05/26 09:51, System, Sorry, your number  is  too short . Cancelling the command...,
2010/05/26 09:52, TEST, Task01,,
2010/05/26 09:52, Driver, <Button> Send Message,,
2010/05/26 09:52, Driver, Zero,,
2010/05/26 09:52, Driver, Zero,,
2010/05/26 09:52, Driver, Six,,
2010/05/26 09:52, Driver, Eight,,
2010/05/26 09:52, Driver, Three,,
2010/05/26 09:52, Driver, Five,,
2010/05/26 09:52, Driver, Four,,
2010/05/26 09:52, Driver, One,,
2010/05/26 09:52, Driver, Five,,
2010/05/26 09:52, Driver, Nine,,
2010/05/26 09:52, System, Do you want to send a text message to 0 0 6 8 3 5 4 1 5 9 . Say 'Yes' or 'No',,
2010/05/26 09:52, Driver, Yes,,
2010/05/26 09:52, System, Do you want to send a text message to 0 0 6 8 3 5 4 1 5 9 . Say 'Yes' or 'No',,
2010/05/26 09:53, System, Choose between the following options,,
2010/05/26 09:53, System, 1- I am running late,,
2010/05/26 09:53, System, 2- Appointment postponed,,
2010/05/26 09:53, System, 3- I will call you later,,
2010/05/26 09:53, Driver, Dial,,
2010/05/26 09:53, System, Do you want to send a text message to 0 0 6 8 3 5 4 1 5 9 . Say 'Yes' or 'No',,
2010/05/26 09:54, TEST, Task01,,
2010/05/26 09:54, Driver, <Button> Send Message,,
2010/05/26 09:54, Driver, Zero,,
2010/05/26 09:55, Driver, Zero,,
2010/05/26 09:55, Driver, Six,,
2010/05/26 09:55, Driver, Eight,,
2010/05/26 09:55, Driver, Three,,
2010/05/26 09:55, Driver, Five,,
2010/05/26 09:55, Driver, Four,,
2010/05/26 09:55, Driver, One,,
2010/05/26 09:55, Driver, Five,,
2010/05/26 09:55, Driver, Nine,,
2010/05/26 09:55, System, Do you want to send a text message to 0 0 6 8 3 5 4 1 5 9 . Say 'Yes' or 'No',,
2010/05/26 09:55, Driver, Yes,,
2010/05/26 09:55, System, Do you want to send a text message to 0 0 6 8 3 5 4 1 5 9 . Say 'Yes' or 'No',,
2010/05/26 10:01, TEST, Task01,,
2010/05/26 10:02, Driver, <Button> Send Message,,
2010/05/26 10:02, Driver, Zero,,
2010/05/26 10:02, Driver, Seven,,
2010/05/26 10:02, Driver, Six,,
2010/05/26 10:02, Driver, Eight,,
2010/05/26 10:02, Driver, Three,,
2010/05/26 10:02, Driver, Five,,
2010/05/26 10:02, Driver, Four,,
2010/05/26 10:02, Driver, One,,
2010/05/26 10:02, Driver, Five,,
2010/05/26 10:02, Driver, Nine,,
2010/05/26 10:02, System, Do you want to send a text message to 0 7 6 8 3 5 4 1 5 9 . Say 'Yes' or 'No',,
2010/05/26 10:02, Driver, Yes,,
2010/05/26 10:02, System, Do you want to send a text message to 0 7 6 8 3 5 4 1 5 9 . Say 'Yes' or 'No',,
2010/05/26 10:03, System, Choose between the following options,,
2010/05/26 10:03, System, 1- I am running late,,
2010/05/26 10:03, System, 2- Appointment postponed,,
2010/05/26 10:04, System, 3- I will call you later,,
2010/05/26 10:04, Driver, One,,
2010/05/26 10:04, System, Do you want to send a text message to 0 7 6 8 3 5 4 1 5 9 . Say 'Yes' or 'No',,
2010/05/26 10:04, Driver, Yes,,
2010/05/26 10:04, System, Sorry, your number 0 7 6 8 3 5 4 1 5 9 1  is  is not valid . Cancelling the command...,
2010/05/26 10:05, TEST, Task01,,
2010/05/26 10:05, Driver, Sms Patrick,,
2010/05/26 10:05, System, Do you want to  send a text message to Patrick. Say 'Yes' or 'No',,
2010/05/26 10:05, Driver, Yes,,
2010/05/26 10:06, System, Choose between the following options,,
2010/05/26 10:06, System, 1- I am running late,,
2010/05/26 10:07, System, 2- Appointment postponed,,
2010/05/26 10:07, System, 3- I will call you later,,
2010/05/26 10:07, Driver, One,,
2010/05/26 10:07, System, Sending the text message 1- I am running late,,
2010/05/26 10:07, System, Please, go to the next task,
2010/05/26 10:07, Driver, <Button> Send Message,,
2010/05/26 10:07, Driver, Zero,,
2010/05/26 10:07, Driver, Eight,,
2010/05/26 10:07, Driver, Three,,
2010/05/26 10:07, Driver, double three,,
2010/05/26 10:07, Driver, double two,,
2010/05/26 10:07, Driver, double two,,
2010/05/26 10:07, System, Sorry, your number 0 8 3 3 3 2 2 2 2  is  too short . Cancelling the command...,
2010/05/26 10:07, Driver, <Button> Send Message,,
2010/05/26 10:07, Driver, Zero,,
