2010/05/23 14:56, Driver, Time,,
2010/05/23 16:23, Driver, Five,,
2010/05/23 16:23, Driver, Five,,
2010/05/23 16:23, Driver, Five,,
2010/05/23 16:23, Driver, Five,,
2010/05/23 16:23, Driver, Five,,
2010/05/23 16:23, Driver, Five,,
2010/05/23 16:23, Driver, Five,,
2010/05/23 16:23, Driver, I will be late,,
2010/05/23 16:23, System, Sorry, your number 17745 is  too short . Try again or cancel the call,
2010/05/23 16:24, Driver, Zero,,
2010/05/23 16:24, Driver, Zero,,
2010/05/23 16:24, Driver, Zero,,
2010/05/23 16:24, Driver, Zero,,
2010/05/23 16:24, Driver, Seven,,
2010/05/23 16:24, Driver, Seven,,
2010/05/23 16:24, Driver, Seven,,
2010/05/23 16:24, Driver, Seven,,
2010/05/23 16:24, Driver, Seven,,
2010/05/23 16:24, Driver, Seven,,
2010/05/23 16:24, Driver, Seven,,
2010/05/23 16:24, Driver, Seven,,
2010/05/23 16:24, Driver, Four,,
2010/05/23 16:24, Driver, Four,,
2010/05/23 16:24, Driver, Four,,
2010/05/23 16:24, Driver, Four,,
2010/05/23 16:24, Driver, Four,,
2010/05/23 16:24, Driver, Four,,
2010/05/23 16:24, Driver, Four,,
2010/05/23 16:24, Driver, Four,,
2010/05/23 16:24, Driver, Four,,
2010/05/23 16:24, Driver, Four,,
2010/05/23 16:24, Driver, Four,,
2010/05/23 16:24, Driver, Four,,
2010/05/23 16:24, Driver, Five,,
2010/05/23 16:24, Driver, Five,,
2010/05/23 16:24, Driver, Five,,
2010/05/23 16:24, Driver, Five,,
2010/05/23 16:24, Driver, Five,,
2010/05/23 16:24, Driver, Five,,
2010/05/23 16:24, Driver, Five,,
2010/05/23 16:24, Driver, Five,,
2010/05/23 16:24, Driver, Five,,
2010/05/23 16:24, Driver, Five,,
2010/05/23 16:24, Driver, Five,,
2010/05/23 16:24, Driver, Five,,
2010/05/23 16:24, Driver, Five,,
2010/05/23 16:24, Driver, Five,,
2010/05/23 16:24, Driver, Five,,
2010/05/23 16:24, Driver, Five,,
2010/05/23 16:24, Driver, <Button> Call,,
2010/05/23 16:24, System, Sorry, your number  is  too short . Try again or cancel the call,
2010/05/23 16:24, Driver, Cancel,,
2010/05/23 16:24, System, Resetting...,,
2010/05/23 16:24, Driver, Cancel,,
2010/05/23 16:24, System, Resetting...,,
2010/05/23 16:25, Driver, Cancel,,
2010/05/23 16:25, System, Resetting...,,
2010/05/23 16:26, P01, Task05,,
2010/05/23 16:26, Driver, O,,
2010/05/23 16:26, Driver, Seven,,
2010/05/23 16:26, Driver, <Button> Call,,
2010/05/23 16:26, Driver, Cancel,,
2010/05/23 16:26, System, Resetting...,,
2010/05/23 16:27, Driver, One,,
2010/05/23 16:27, Driver, O,,
2010/05/23 16:27, Driver, Seven,,
2010/05/23 16:27, Driver, Two,,
2010/05/23 16:27, Driver, Two,,
2010/05/23 16:27, Driver, Two,,
2010/05/23 16:27, Driver, Two,,
2010/05/23 16:27, Driver, Three,,
2010/05/23 16:27, Driver, Three,,
2010/05/23 16:27, Driver, Three,,
2010/05/23 16:27, Driver, Three,,
2010/05/23 16:27, Driver, <Button> Call,,
2010/05/23 16:27, System, Sorry, your number  is  too short . Try again or cancel the call,
2010/05/23 16:27, Driver, Cancel,,
2010/05/23 16:27, System, Resetting...,,
2010/05/23 16:27, Driver, Call Peter,,
2010/05/23 16:27, System, Do you want to call Peter. Say 'Yes' or 'No',,
2010/05/23 16:27, Driver, No,,
2010/05/23 16:27, System, Cancelling the call request.,,
2010/05/23 16:28, Driver, Dial,,
2010/05/23 16:28, Driver, O,,
2010/05/23 16:28, Driver, Seven,,
2010/05/23 16:28, Driver, Two,,
2010/05/23 16:28, Driver, Two,,
2010/05/23 16:28, Driver, Two,,
2010/05/23 16:28, Driver, Two,,
2010/05/23 16:28, Driver, Three,,
2010/05/23 16:28, Driver, Three,,
2010/05/23 16:28, Driver, Three,,
2010/05/23 16:28, System, Sorry, your number 072222333 is  too short . Try again or cancel the call,
2010/05/23 16:28, Driver, Cancel,,
2010/05/23 16:28, System, Resetting...,,
2010/05/23 16:29, Driver, Dial,,
2010/05/23 16:29, Driver, Zero,,
2010/05/23 16:29, Driver, Seven,,
2010/05/23 16:29, Driver, Two,,
2010/05/23 16:29, Driver, double three,,
2010/05/23 16:29, Driver, double two,,
2010/05/23 16:29, Driver, Cancel,,
2010/05/23 16:29, System, Resetting...,,
2010/05/23 16:29, Driver, Dial,,
2010/05/23 16:29, Driver, Zero,,
2010/05/23 16:29, Driver, Seven,,
2010/05/23 16:29, Driver, Two,,
2010/05/23 16:29, Driver, triple two,,
2010/05/23 16:30, Driver, double three,,
2010/05/23 16:30, Driver, double three,,
2010/05/23 16:30, System, Do you want to dial 0722223333. Say 'Yes' or 'No',,
2010/05/23 16:30, Driver, Yes,,
2010/05/23 16:30, System, Dialling 0722223333,,
2010/05/23 16:30, Driver, Dial,,
2010/05/23 16:30, Driver, triple eight,,
2010/05/23 16:30, Driver, triple one,,
2010/05/23 16:30, Driver, Six,,
2010/05/23 16:30, Driver, triple six,,
2010/05/23 16:30, Driver, Cancel,,
2010/05/23 16:30, System, Resetting...,,
2010/05/23 16:31, Driver, Dial,,
2010/05/23 16:31, Driver, triple eight,,
2010/05/23 16:31, Driver, triple one,,
2010/05/23 16:31, Driver, Six,,
2010/05/23 16:31, Driver, triple six,,
2010/05/23 16:31, System, Sorry, your number 8881116666 is  is not valid . Try again or cancel the call,
2010/05/23 16:32, Driver, Dial,,
2010/05/23 16:32, Driver, Zero,,
2010/05/23 16:32, Driver, double seven,,
2010/05/23 16:32, Driver, triple six,,
2010/05/23 16:32, Driver, double two,,
2010/05/23 16:32, Driver, double five,,
2010/05/23 16:32, System, Do you want to dial 0776662255. Say 'Yes' or 'No',,
2010/05/23 16:32, Driver, Yes,,
2010/05/23 16:32, System, Dialling 0776662255,,
2010/05/23 16:32, Driver, Redial,,
2010/05/23 16:32, System, Do you want to redial the last number 0776662255 ? Say 'Yes' or 'No',,
2010/05/23 16:33, Driver, Yes,,
2010/05/23 16:33, System, Dialling 0776662255,,
2010/05/23 16:33, Driver, Callback,,
2010/05/23 16:33, System, Do you want to call back the last incoming contact John Doe ? Say 'Yes' or 'No' ,,
2010/05/23 16:33, Driver, Yes,,
2010/05/23 16:33, System, Calling John Doe,,
2010/05/23 16:33, Driver, Send message to Patrick,,
2010/05/23 16:33, System, Do you want to  send a text message to Patrick. Say 'Yes' or 'No',,
2010/05/23 16:33, Driver, Yes,,
2010/05/23 16:33, System, Choose between the following options,,
2010/05/23 16:33, System, 1- I am running late,,
2010/05/23 16:33, System, 2- Appointment postponed,,
2010/05/23 16:33, System, 3- I will call you later,,
2010/05/23 16:33, System, Sending the text message 3- I will call you later,,
2010/05/23 16:34, Driver, Sms Andre,,
2010/05/23 16:34, System, Do you want to  send a text message to Andre. Say 'Yes' or 'No',,
2010/05/23 16:34, Driver, Yes,,
2010/05/23 16:34, System, Sending the text message 3- I will call you later,,
2010/05/23 16:35, Driver, <Button> Send Message,,
2010/05/23 16:35, Driver, Zero,,
2010/05/23 16:35, Driver, Seven,,
2010/05/23 16:35, Driver, Three,,
2010/05/23 16:36, Driver, triple one,,
2010/05/23 16:36, Driver, One,,
2010/05/23 16:36, Driver, Two,,
2010/05/23 16:36, Driver, Three,,
2010/05/23 16:36, Driver, Four,,
2010/05/23 16:36, System, Do you want to send a text message to 0731111234. Say 'Yes' or 'No',,
2010/05/23 16:36, Driver, Yes,,
2010/05/23 16:36, System, Sending the text message 3- I will call you later,,
2010/05/23 16:36, Driver, One,,
2010/05/23 16:37, Driver, One,,
2010/05/23 17:10, TEST, Task06,,
2010/05/23 17:10, Driver, What time is it?,,
2010/05/23 17:10, System, the time is 5  10,,
2010/05/23 17:11, Driver, What time is it?,,
2010/05/23 17:11, System, the time is 5  11,,
2010/05/23 17:11, Driver, What time is it?,,
2010/05/23 17:11, System, the time is 5  11,,
2010/05/23 17:11, Driver, Yebo,,
2010/05/23 17:11, Driver, Call Patrick,,
2010/05/23 17:11, System, Do you want to call Patrick. Say 'Yes' or 'No',,
2010/05/23 17:11, Driver, Dieter,,
2010/05/23 17:11, Driver, Restart,,
2010/05/23 17:11, System, Resetting...,,
2010/05/23 17:13, TEST, Task07,,
2010/05/23 17:13, Driver, What time is it?,,
2010/05/23 17:13, System, the time is 5  13,,
2010/05/23 17:13, Driver, Sms Patrick,,
2010/05/23 17:13, System, Do you want to  send a text message to Patrick. Say 'Yes' or 'No',,
2010/05/23 17:13, Driver, Yes,,
2010/05/23 17:13, System, Choose between the following options,,
2010/05/23 17:13, System, 1- I am running late,,
2010/05/23 17:13, System, 2- Appointment postponed,,
2010/05/23 17:13, System, 3- I will call you later,,
2010/05/23 17:13, Driver, Three,,
2010/05/23 17:13, System, Sending the text message 3- I will call you later,,
2010/05/23 17:14, TEST, Task08,,
2010/05/23 17:14, Driver, What time is it?,,
2010/05/23 17:14, Driver, What time is it?,,
2010/05/23 17:14, System, the time is 5  14,,
2010/05/23 17:14, System, the time is 5  14,,
2010/05/23 17:15, P02, Task09,,
2010/05/23 17:16, Driver, What time is it?,,
2010/05/23 17:16, System, the time is 5  16,,
2010/05/23 17:16, Driver, Call Patrick,,
2010/05/23 17:16, System, Do you want to call Patrick. Say 'Yes' or 'No',,
2010/05/23 17:16, Driver, Yes,,
2010/05/23 17:16, System, Calling Patrick on 0768354159,,
2010/05/23 17:16, Driver, Call Felix,,
2010/05/23 17:16, System, Do you want to call Felix. Say 'Yes' or 'No',,
2010/05/23 17:17, Driver, Yes,,
2010/05/23 17:17, System, Calling Felix on 0789954545,,
2010/05/23 17:17, Driver, <Button> Call,,
2010/05/23 17:17, Driver, Janet,,
2010/05/23 17:17, System, Do you want to call Janet. Say 'Yes' or 'No',,
2010/05/23 17:17, Driver, Yes,,
2010/05/23 17:17, System, Calling Janet on 0827743624,,
2010/05/23 17:18, Driver, Call Andre,,
2010/05/23 17:18, System, Do you want to call Andre. Say 'Yes' or 'No',,
2010/05/23 17:18, Driver, Phone Jean,,
2010/05/23 17:18, Driver, Cancel,,
2010/05/23 17:18, System, Resetting...,,
2010/05/23 17:18, Driver, Time,,
2010/05/23 17:18, System, the time is 5  18,,
2010/05/23 17:19, Driver, Time,,
2010/05/23 17:19, System, the time is 5  19,,
2010/05/23 17:19, Driver, Cancel,,
2010/05/23 17:19, System, Resetting...,,
2010/05/23 17:19, Driver, Time,,
2010/05/23 17:19, System, the time is 5  19,,
2010/05/23 17:19, Driver, Time,,
2010/05/23 17:19, System, the time is 5  19,,
2010/05/23 17:19, Driver, Time,,
2010/05/23 17:19, System, the time is 5  19,,
2010/05/23 17:19, Driver, One,,
2010/05/23 17:19, Driver, One,,
2010/05/23 17:19, Driver, One,,
2010/05/23 17:20, Driver, Call Peter,,
2010/05/23 17:20, System, Do you want to call Peter. Say 'Yes' or 'No',,
2010/05/23 17:20, Driver, Cancel,,
2010/05/23 17:20, System, Resetting...,,
2010/05/23 17:20, Driver, <Button> Call,,
2010/05/23 17:20, Driver, Time,,
2010/05/23 17:20, Driver, Callback,,
2010/05/23 17:20, Driver, Seven,,
2010/05/23 17:20, Driver, Seven,,
2010/05/23 17:20, Driver, Phone,,
2010/05/23 17:20, Driver, Four,,
2010/05/23 17:20, Driver, Phone,,
2010/05/23 17:20, Driver, Five,,
2010/05/23 17:20, Driver, Five,,
2010/05/23 17:21, Driver, Five,,
2010/05/23 17:21, Driver, Five,,
2010/05/23 17:21, System, Sorry, your number 7745555 is  too short . Try again or cancel the call,
2010/05/23 17:21, Driver, Cancel,,
2010/05/23 17:21, System, Resetting...,,
2010/05/23 17:21, Driver, One,,
2010/05/23 17:21, Driver, Time,,
2010/05/23 17:21, System, the time is 5  21,,
2010/05/23 17:21, Driver, Time,,
2010/05/23 17:21, System, the time is 5  21,,
2010/05/23 17:22, Driver, Time,,
2010/05/23 17:22, System, the time is 5  22,,
2010/05/23 17:22, Driver, Four,,
2010/05/23 17:22, Driver, Four,,
2010/05/23 17:22, Driver, Four,,
2010/05/23 17:22, Driver, Callback,,
2010/05/23 17:22, System, Do you want to call back the last incoming contact John Doe ? Say 'Yes' or 'No' ,,
2010/05/23 17:22, Driver, No,,
2010/05/23 17:22, System, Cancelling the callback request.,,
2010/05/23 17:22, Driver, O,,
2010/05/23 17:22, Driver, One,,
2010/05/23 17:23, Driver, Time,,
2010/05/23 17:23, System, the time is 5  23,,
2010/05/23 17:23, Driver, O,,
2010/05/23 17:23, Driver, Yebo,,
2010/05/23 17:23, Driver, Zero,,
2010/05/23 17:23, Driver, Phone,,
2010/05/23 17:23, Driver, Four,,
2010/05/23 17:23, Driver, Four,,
2010/05/23 17:23, System, Sorry, your number 44 is  too short . Try again or cancel the call,
2010/05/23 17:23, Driver, <Button> Call,,
2010/05/23 17:23, Driver, Call Simone,,
2010/05/23 17:23, System, Do you want to call Simone. Say 'Yes' or 'No',,
2010/05/23 17:24, Driver, Cancel,,
2010/05/23 17:24, System, Resetting...,,
2010/05/23 17:24, Driver, Callback,,
2010/05/23 17:24, System, Do you want to call back the last incoming contact John Doe ? Say 'Yes' or 'No' ,,
2010/05/23 17:24, Driver, <Button> Call,,
2010/05/23 17:24, System, Calling John Doe,,
2010/05/23 17:24, Driver, <Button> Call,,
2010/05/23 17:24, System, Sorry, your number  is  too short . Try again or cancel the call,
2010/05/23 17:24, Driver, <Button> Call,,
2010/05/23 17:24, Driver, Call Meredith,,
2010/05/23 17:25, System, Do you want to call Meredith. Say 'Yes' or 'No',,
2010/05/23 17:25, Driver, Cancel,,
2010/05/23 17:25, System, Resetting...,,
2010/05/23 17:25, Driver, <Button> Call,,
2010/05/23 17:25, Driver, Call Michelle,,
2010/05/23 17:25, System, Do you want to call Michelle. Say 'Yes' or 'No',,
2010/05/23 17:25, Driver, <Button> Call,,
2010/05/23 17:25, System, Calling Michelle on 0762031050,,
2010/05/23 17:25, Driver, Time,,
2010/05/23 17:25, System, the time is 5  25,,
2010/05/23 17:25, Driver, Ten,,
2010/05/23 17:25, Driver, Ten,,
2010/05/23 17:25, Driver, Ten,,
2010/05/23 17:25, Driver, <Button> Call,,
2010/05/23 17:26, Driver, Cancel,,
2010/05/23 17:26, System, Resetting...,,
2010/05/23 17:26, Driver, Ten,,
2010/05/23 17:26, Driver, Dial,,
2010/05/23 17:26, System, Sorry, your number  is  too short . Try again or cancel the call,
2010/05/23 17:26, Driver, Call Simone,,
2010/05/23 17:26, System, Do you want to call Simone. Say 'Yes' or 'No',,
2010/05/23 17:27, Driver, Cancel,,
2010/05/23 17:27, System, Resetting...,,
2010/05/23 17:27, Driver, Ten,,
2010/05/23 17:27, Driver, Ten,,
,,,,
2010/05/23 17:28, P02, Task10,,
2010/05/23 17:28, Driver, Ten,,
2010/05/23 17:28, Driver, Redial,,
2010/05/23 17:28, System, Do you want to recall Michelle ? Say 'Yes' or 'No' ,,
2010/05/23 17:29, Driver, Yes,,
2010/05/23 17:29, System, Calling Michelle,,
2010/05/23 17:29, Driver, Send message to Patrick,,
2010/05/23 17:29, System, Do you want to  send a text message to Patrick. Say 'Yes' or 'No',,
2010/05/23 17:29, Driver, Yes,,
2010/05/23 17:29, System, Choose between the following options,,
2010/05/23 17:29, System, 1- I am running late,,
2010/05/23 17:29, System, 2- Appointment postponed,,
2010/05/23 17:29, System, 3- I will call you later,,
2010/05/23 17:30, Driver, One,,
2010/05/23 17:30, System, Sending the text message 1- I am running late,,
2010/05/23 17:30, Driver, Sms Andre,,
2010/05/23 17:30, System, Do you want to  send a text message to Andre. Say 'Yes' or 'No',,
2010/05/23 17:30, Driver, Yes,,
2010/05/23 17:30, System, Sending the text message 1- I am running late,,
2010/05/23 17:31, Driver, <Button> Send Message,,
2010/05/23 17:31, Driver, Call Michelle,,
2010/05/23 17:31, System, Do you want to  send a text message to Michelle. Say 'Yes' or 'No',,
2010/05/23 17:31, Driver, Cancel,,
2010/05/23 17:31, System, Resetting...,,
2010/05/23 17:31, Driver, <Button> Send Message,,
2010/05/23 17:32, Driver, Zero,,
2010/05/23 17:32, Driver, Seven,,
2010/05/23 17:32, Driver, Six,,
2010/05/23 17:32, Driver, Eight,,
2010/05/23 17:32, Driver, Three,,
2010/05/23 17:32, Driver, Five,,
2010/05/23 17:32, Driver, Four,,
2010/05/23 17:32, Driver, One,,
2010/05/23 17:32, Driver, Three,,
2010/05/23 17:32, Driver, Five,,
2010/05/23 17:32, System, Do you want to send a text message to 0768354135. Say 'Yes' or 'No',,
2010/05/23 17:32, Driver, No,,
2010/05/23 17:32, System, Cancelling the message request.,,
2010/05/23 17:32, Driver, <Button> Send Message,,
2010/05/23 17:32, Driver, One,,
2010/05/23 17:32, Driver, Seven,,
2010/05/23 17:32, Driver, Three,,
2010/05/23 17:32, Driver, One,,
2010/05/23 17:32, Driver, One,,
2010/05/23 17:32, Driver, One,,
2010/05/23 17:32, Driver, One,,
2010/05/23 17:32, Driver, Time,,
2010/05/23 17:33, Driver, Three,,
2010/05/23 17:33, Driver, Four,,
2010/05/23 17:33, System, Sorry, your number 173111134 is  too short . Try again or cancel the call,
2010/05/23 17:33, Driver, Cancel,,
2010/05/23 17:33, System, Resetting...,,
2010/05/23 17:33, Driver, <Button> Send Message,,
2010/05/23 17:33, Driver, Zero,,
2010/05/23 17:33, Driver, Seven,,
2010/05/23 17:33, Driver, Three,,
2010/05/23 17:33, Driver, One,,
2010/05/23 17:33, Driver, One,,
2010/05/23 17:33, Driver, One,,
2010/05/23 17:33, Driver, One,,
2010/05/23 17:33, Driver, Time,,
2010/05/23 17:34, Driver, Cancel,,
2010/05/23 17:34, System, Resetting...,,
2010/05/23 17:34, Driver, <Button> Send Message,,
2010/05/23 17:34, System, Sorry, your number  is  too short . Try again or cancel the call,
2010/05/23 17:34, Driver, <Button> Send Message,,
2010/05/23 17:34, Driver, Cancel,,
2010/05/23 17:34, System, Resetting...,,
2010/05/23 17:34, Driver, <Button> Send Message,,
2010/05/23 17:34, Driver, Zero,,
2010/05/23 17:34, Driver, Seven,,
2010/05/23 17:34, Driver, Three,,
2010/05/23 17:34, Driver, One,,
2010/05/23 17:34, Driver, One,,
2010/05/23 17:34, Driver, One,,
2010/05/23 17:34, Driver, One,,
2010/05/23 17:35, Driver, Phone,,
2010/05/23 17:35, Driver, Cancel,,
2010/05/23 17:35, System, Resetting...,,
2010/05/23 17:35, Driver, <Button> Send Message,,
2010/05/23 17:35, Driver, Cancel,,
2010/05/23 17:35, System, Resetting...,,
2010/05/23 17:35, Driver, <Button> Send Message,,
2010/05/23 17:35, Driver, Zero,,
2010/05/23 17:35, Driver, Seven,,
2010/05/23 17:35, Driver, Eight,,
2010/05/23 17:35, Driver, triple one,,
2010/05/23 17:35, Driver, One,,
2010/05/23 17:35, Driver, Time,,
2010/05/23 17:35, Driver, Dieter,,
2010/05/23 17:35, System, Do you want to send a text message to 0768354135. Say 'Yes' or 'No',,
2010/05/23 17:36, Driver, Cancel,,
2010/05/23 17:36, System, Resetting...,,
2010/05/23 17:36, Driver, <Button> Send Message,,
2010/05/23 17:36, Driver, Zero,,
2010/05/23 17:36, Driver, Seven,,
2010/05/23 17:36, Driver, Eight,,
2010/05/23 17:36, Driver, One,,
2010/05/23 17:36, Driver, One,,
2010/05/23 17:36, Driver, One,,
2010/05/23 17:36, Driver, One,,
2010/05/23 17:36, Driver, Cancel,,
2010/05/23 17:36, System, Resetting...,,
2010/05/23 17:36, Driver, <Button> Send Message,,
2010/05/23 17:37, Driver, Zero,,
2010/05/23 17:37, Driver, Seven,,
2010/05/23 17:37, Driver, Cancel,,
2010/05/23 17:37, System, Resetting...,,
2010/05/23 17:37, Driver, <Button> Send Message,,
2010/05/23 17:37, Driver, Zero,,
2010/05/23 17:37, Driver, Seven,,
2010/05/23 17:39, Driver, Ten,,
2010/05/23 17:39, Driver, Time,,
2010/05/23 17:40, Driver, Dieter,,
2010/05/23 17:40, System, Do you want to send a text message to 0768354135. Say 'Yes' or 'No',,
2010/05/23 17:40, Driver, No,,
2010/05/23 17:40, System, Cancelling the message request.,,
2010/05/23 17:40, Driver, One,,
2010/05/23 17:40, Driver, Call Patrick,,
2010/05/23 17:40, System, Do you want to dial 0768354135. Say 'Yes' or 'No',,
2010/05/23 17:41, Driver, No,,
2010/05/23 17:41, System, Cancelling the call request.,,
2010/05/23 17:41, Driver, Call Patrick,,
2010/05/23 17:41, System, Do you want to dial 0768354135. Say 'Yes' or 'No',,
2010/05/23 17:41, Driver, No,,
2010/05/23 17:41, System, Cancelling the call request.,,
2010/05/23 17:41, Driver, Call Andre,,
2010/05/23 17:41, System, Do you want to dial 0768354135. Say 'Yes' or 'No',,
2010/05/23 17:41, Driver, No,,
2010/05/23 17:41, System, Cancelling the call request.,,
2010/05/23 17:42, P02, Task11,,
2010/05/23 17:42, Driver, Callback,,
2010/05/23 17:42, System, Do you want to call back the last incoming contact John Doe ? Say 'Yes' or 'No' ,,
2010/05/23 17:42, Driver, Call Patrick,,
2010/05/23 17:42, Driver, Restart,,
2010/05/23 17:42, System, Resetting...,,
2010/05/23 17:42, Driver, Call Patrick,,
2010/05/23 17:42, System, Do you want to call Patrick. Say 'Yes' or 'No',,
2010/05/23 17:43, Driver, No,,
2010/05/23 17:43, System, Cancelling the call request.,,
2010/05/23 17:43, Driver, O,,
2010/05/23 17:43, Driver, One,,
2010/05/23 17:43, Driver, One,,
2010/05/23 17:43, Driver, One,,
2010/05/23 17:43, Driver, One,,
2010/05/23 17:44, Driver, Pat,,
2010/05/23 17:44, Driver, Patrick,,
2010/05/23 17:44, Driver, Call Patrick,,
2010/05/23 17:44, System, Do you want to call Patrick. Say 'Yes' or 'No',,
2010/05/23 17:44, Driver, No,,
2010/05/23 17:44, System, Cancelling the call request.,,
2010/05/23 17:44, Driver, Dial Felix,,
2010/05/23 17:44, System, Do you want to call Felix. Say 'Yes' or 'No',,
2010/05/23 17:44, Driver, No,,
2010/05/23 17:44, System, Cancelling the call request.,,
2010/05/23 17:44, Driver, Phone Janet,,
2010/05/23 17:44, System, Do you want to call Janet. Say 'Yes' or 'No',,
2010/05/23 17:44, Driver, No,,
2010/05/23 17:44, System, Cancelling the call request.,,
2010/05/23 17:44, Driver, Call Andre,,
2010/05/23 17:44, System, Do you want to call Andre. Say 'Yes' or 'No',,
2010/05/23 17:44, Driver, One,,
2010/05/23 17:44, Driver, Zero,,
2010/05/23 17:44, Driver, Seven,,
2010/05/23 17:44, Driver, Bluetooth,,
2010/05/23 17:44, Driver, triple one,,
2010/05/23 17:44, Driver, triple four,,
2010/05/23 17:45, Driver, Five,,
2010/05/23 17:45, Driver, <Button> Call,,
2010/05/23 17:45, System, Calling Andre on 0836311208,,
2010/05/23 23:46, TEST, Task12,,
2010/05/23 23:47, TEST, Task12,,
2010/05/23 23:52, TEST, Task02,,
2010/05/23 23:52, TEST, Task02,,
2010/05/23 23:52, TEST, Task02,,
2010/05/23 23:52, TEST, Task02,,
2010/05/23 23:52, TEST, Task02,,
2010/05/23 23:55, TEST, Task07,,
