
************ New Dialogue **************
End 2010/05/19 02:57:02 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:02 PM
End 2010/05/19 02:57:02 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:02 PM
End 2010/05/19 02:57:02 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:02 PM
End 2010/05/19 02:57:02 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:02 PM
End 2010/05/19 02:57:02 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:02 PM
End 2010/05/19 02:57:02 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:03 PM
End 2010/05/19 02:57:03 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:03 PM
End 2010/05/19 02:57:03 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:03 PM
End 2010/05/19 02:57:03 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:03 PM
End 2010/05/19 02:57:03 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:03 PM
End 2010/05/19 02:57:03 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:03 PM
End 2010/05/19 02:57:03 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:03 PM
End 2010/05/19 02:57:03 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:04 PM
End 2010/05/19 02:57:04 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:04 PM
End 2010/05/19 02:57:04 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:04 PM
End 2010/05/19 02:57:04 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:04 PM
End 2010/05/19 02:57:04 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:04 PM
End 2010/05/19 02:57:04 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:04 PM
End 2010/05/19 02:57:04 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:04 PM
End 2010/05/19 02:57:04 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:05 PM
End 2010/05/19 02:57:05 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:05 PM
End 2010/05/19 02:57:05 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:05 PM
End 2010/05/19 02:57:05 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:05 PM
End 2010/05/19 02:57:05 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:05 PM
End 2010/05/19 02:57:05 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:05 PM
End 2010/05/19 02:57:05 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:06 PM
End 2010/05/19 02:57:06 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:06 PM
End 2010/05/19 02:57:06 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:06 PM
End 2010/05/19 02:57:06 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:06 PM
End 2010/05/19 02:57:06 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:06 PM
End 2010/05/19 02:57:06 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:06 PM
End 2010/05/19 02:57:06 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:07 PM
End 2010/05/19 02:57:07 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:07 PM
End 2010/05/19 02:57:07 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:07 PM
End 2010/05/19 02:57:07 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:07 PM
End 2010/05/19 02:57:07 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:07 PM
End 2010/05/19 02:57:07 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:07 PM
End 2010/05/19 02:57:07 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:07 PM
End 2010/05/19 02:57:07 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:08 PM
End 2010/05/19 02:57:08 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:08 PM
End 2010/05/19 02:57:08 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:08 PM
End 2010/05/19 02:57:08 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:08 PM
End 2010/05/19 02:57:08 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:08 PM
End 2010/05/19 02:57:08 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:08 PM
End 2010/05/19 02:57:08 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:09 PM
End 2010/05/19 02:57:09 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:09 PM
End 2010/05/19 02:57:09 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:09 PM
End 2010/05/19 02:57:09 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:09 PM
End 2010/05/19 02:57:09 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:09 PM
End 2010/05/19 02:57:09 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:09 PM
End 2010/05/19 02:57:09 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:09 PM
End 2010/05/19 02:57:09 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:10 PM
End 2010/05/19 02:57:10 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:10 PM
End 2010/05/19 02:57:10 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:10 PM
End 2010/05/19 02:57:10 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:10 PM
End 2010/05/19 02:57:10 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:10 PM
End 2010/05/19 02:57:10 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:10 PM
End 2010/05/19 02:57:10 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:11 PM
End 2010/05/19 02:57:11 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:11 PM
End 2010/05/19 02:57:11 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:11 PM
End 2010/05/19 02:57:11 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:11 PM
End 2010/05/19 02:57:11 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:11 PM
End 2010/05/19 02:57:11 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:11 PM
End 2010/05/19 02:57:11 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:12 PM
End 2010/05/19 02:57:12 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:12 PM
End 2010/05/19 02:57:12 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:12 PM
End 2010/05/19 02:57:12 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:12 PM
End 2010/05/19 02:57:12 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:12 PM
End 2010/05/19 02:57:12 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:12 PM
End 2010/05/19 02:57:12 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:12 PM
End 2010/05/19 02:57:12 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:13 PM
End 2010/05/19 02:57:13 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:13 PM
End 2010/05/19 02:57:13 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:13 PM
End 2010/05/19 02:57:13 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:13 PM
End 2010/05/19 02:57:13 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:13 PM
End 2010/05/19 02:57:13 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:14 PM
End 2010/05/19 02:57:14 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:14 PM
End 2010/05/19 02:57:14 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:14 PM
End 2010/05/19 02:57:14 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:14 PM
End 2010/05/19 02:57:14 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:14 PM
End 2010/05/19 02:57:14 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:15 PM
End 2010/05/19 02:57:15 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:15 PM
End 2010/05/19 02:57:15 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:15 PM
End 2010/05/19 02:57:15 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:15 PM
End 2010/05/19 02:57:15 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:15 PM
End 2010/05/19 02:57:15 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:15 PM
End 2010/05/19 02:57:15 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:16 PM
End 2010/05/19 02:57:16 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:16 PM
End 2010/05/19 02:57:16 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:16 PM
End 2010/05/19 02:57:16 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:16 PM
End 2010/05/19 02:57:16 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:16 PM
End 2010/05/19 02:57:16 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:17 PM
End 2010/05/19 02:57:17 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:17 PM
End 2010/05/19 02:57:17 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:17 PM
End 2010/05/19 02:57:17 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:17 PM
End 2010/05/19 02:57:17 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:17 PM
End 2010/05/19 02:57:17 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:17 PM
End 2010/05/19 02:57:17 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:18 PM
End 2010/05/19 02:57:18 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:18 PM
End 2010/05/19 02:57:18 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:18 PM
End 2010/05/19 02:57:18 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:18 PM
End 2010/05/19 02:57:18 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:18 PM
End 2010/05/19 02:57:18 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:18 PM
End 2010/05/19 02:57:18 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:19 PM
End 2010/05/19 02:57:19 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:19 PM
End 2010/05/19 02:57:19 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:19 PM
End 2010/05/19 02:57:19 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:19 PM
End 2010/05/19 02:57:19 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:19 PM
End 2010/05/19 02:57:19 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:19 PM
End 2010/05/19 02:57:19 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:20 PM
End 2010/05/19 02:57:20 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:20 PM
End 2010/05/19 02:57:20 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:20 PM
End 2010/05/19 02:57:20 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:20 PM
End 2010/05/19 02:57:20 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:20 PM
End 2010/05/19 02:57:20 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:20 PM
End 2010/05/19 02:57:20 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:21 PM
End 2010/05/19 02:57:21 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:21 PM
End 2010/05/19 02:57:21 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:21 PM
End 2010/05/19 02:57:21 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:21 PM
End 2010/05/19 02:57:21 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:21 PM
End 2010/05/19 02:57:21 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:22 PM
End 2010/05/19 02:57:22 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:22 PM
End 2010/05/19 02:57:22 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:22 PM
End 2010/05/19 02:57:22 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:22 PM
End 2010/05/19 02:57:22 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:22 PM
End 2010/05/19 02:57:22 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:22 PM
End 2010/05/19 02:57:22 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:23 PM
End 2010/05/19 02:57:23 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:23 PM
End 2010/05/19 02:57:23 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:23 PM
End 2010/05/19 02:57:23 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:23 PM
End 2010/05/19 02:57:23 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:23 PM
End 2010/05/19 02:57:23 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:23 PM
End 2010/05/19 02:57:23 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:24 PM
End 2010/05/19 02:57:24 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:24 PM
End 2010/05/19 02:57:24 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:24 PM
End 2010/05/19 02:57:24 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:24 PM
End 2010/05/19 02:57:24 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:24 PM
End 2010/05/19 02:57:24 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:24 PM
End 2010/05/19 02:57:24 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:25 PM
End 2010/05/19 02:57:25 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:25 PM
End 2010/05/19 02:57:25 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:25 PM
End 2010/05/19 02:57:25 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:25 PM
End 2010/05/19 02:57:25 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:25 PM
End 2010/05/19 02:57:25 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:25 PM
End 2010/05/19 02:57:25 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:26 PM
End 2010/05/19 02:57:26 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:26 PM
End 2010/05/19 02:57:26 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:26 PM
End 2010/05/19 02:57:26 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:26 PM
End 2010/05/19 02:57:26 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:26 PM
End 2010/05/19 02:57:26 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:26 PM
End 2010/05/19 02:57:26 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:27 PM
End 2010/05/19 02:57:27 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:27 PM
End 2010/05/19 02:57:27 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:27 PM
End 2010/05/19 02:57:27 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:27 PM
End 2010/05/19 02:57:27 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:27 PM
End 2010/05/19 02:57:27 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:27 PM
End 2010/05/19 02:57:27 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:28 PM
End 2010/05/19 02:57:28 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:28 PM
End 2010/05/19 02:57:28 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:28 PM
End 2010/05/19 02:57:28 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:28 PM
End 2010/05/19 02:57:28 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:28 PM
End 2010/05/19 02:57:28 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:28 PM
End 2010/05/19 02:57:28 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:28 PM
End 2010/05/19 02:57:28 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:29 PM
End 2010/05/19 02:57:29 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:29 PM
End 2010/05/19 02:57:29 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:29 PM
End 2010/05/19 02:57:29 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:29 PM
End 2010/05/19 02:57:29 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:29 PM
End 2010/05/19 02:57:29 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:29 PM
End 2010/05/19 02:57:29 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:30 PM
End 2010/05/19 02:57:30 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:30 PM
End 2010/05/19 02:57:30 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:30 PM
End 2010/05/19 02:57:30 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:30 PM
End 2010/05/19 02:57:30 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:30 PM
End 2010/05/19 02:57:30 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:30 PM
End 2010/05/19 02:57:30 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:31 PM
End 2010/05/19 02:57:31 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:31 PM
End 2010/05/19 02:57:31 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:31 PM
End 2010/05/19 02:57:31 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:31 PM
End 2010/05/19 02:57:31 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:31 PM
End 2010/05/19 02:57:31 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:31 PM
End 2010/05/19 02:57:31 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:32 PM
End 2010/05/19 02:57:32 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:32 PM
End 2010/05/19 02:57:32 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:32 PM
End 2010/05/19 02:57:32 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:32 PM
End 2010/05/19 02:57:32 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:32 PM
End 2010/05/19 02:57:32 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:32 PM
End 2010/05/19 02:57:32 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:33 PM
End 2010/05/19 02:57:33 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:33 PM
End 2010/05/19 02:57:33 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:33 PM
End 2010/05/19 02:57:33 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:33 PM
End 2010/05/19 02:57:33 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:33 PM
End 2010/05/19 02:57:33 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:34 PM
End 2010/05/19 02:57:34 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:34 PM
End 2010/05/19 02:57:34 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:34 PM
End 2010/05/19 02:57:34 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:34 PM
End 2010/05/19 02:57:34 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:34 PM
End 2010/05/19 02:57:34 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:34 PM
End 2010/05/19 02:57:34 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:35 PM
End 2010/05/19 02:57:35 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:35 PM
End 2010/05/19 02:57:35 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:35 PM
End 2010/05/19 02:57:35 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:35 PM
End 2010/05/19 02:57:35 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:35 PM
End 2010/05/19 02:57:35 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:35 PM
End 2010/05/19 02:57:35 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:36 PM
End 2010/05/19 02:57:36 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:36 PM
End 2010/05/19 02:57:36 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:36 PM
End 2010/05/19 02:57:36 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:36 PM
End 2010/05/19 02:57:36 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:36 PM
End 2010/05/19 02:57:36 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:36 PM
End 2010/05/19 02:57:36 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:37 PM
End 2010/05/19 02:57:37 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:37 PM
End 2010/05/19 02:57:37 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:37 PM
End 2010/05/19 02:57:37 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:37 PM
End 2010/05/19 02:57:37 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:37 PM
End 2010/05/19 02:57:37 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:37 PM
End 2010/05/19 02:57:37 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:38 PM
End 2010/05/19 02:57:38 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:38 PM
End 2010/05/19 02:57:38 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:38 PM
End 2010/05/19 02:57:38 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:38 PM
End 2010/05/19 02:57:38 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:38 PM
End 2010/05/19 02:57:38 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:38 PM
End 2010/05/19 02:57:38 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:39 PM
End 2010/05/19 02:57:39 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:39 PM
End 2010/05/19 02:57:39 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:39 PM
End 2010/05/19 02:57:39 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:39 PM
End 2010/05/19 02:57:39 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:39 PM
End 2010/05/19 02:57:39 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:40 PM
End 2010/05/19 02:57:40 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:40 PM
End 2010/05/19 02:57:40 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:40 PM
End 2010/05/19 02:57:40 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:40 PM
End 2010/05/19 02:57:40 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:40 PM
End 2010/05/19 02:57:40 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:41 PM
End 2010/05/19 02:57:41 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:41 PM
End 2010/05/19 02:57:41 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:41 PM
End 2010/05/19 02:57:41 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:41 PM
End 2010/05/19 02:57:41 PM

************ New Dialogue **************
Start: 2010/05/19 02:57:41 PM
End 2010/05/19 02:57:41 PM

************ New Dialogue **************
Start: 2010/05/19 03:00:54 PM
End 2010/05/19 03:00:54 PM

************ New Dialogue **************
Start: 2010/05/19 03:17:19 PM
End 2010/05/19 03:17:19 PM

************ New Dialogue **************
Start: 2010/05/19 03:28:27 PM
End 2010/05/19 03:28:27 PM

************ New Dialogue **************
Start: 2010/05/19 04:29:48 PM
End 2010/05/19 04:29:48 PM

************ New Dialogue **************
Start: 2010/05/19 05:58:52 PM
End 2010/05/19 05:58:52 PM

************ New Dialogue **************
Start: 2010/05/19 06:07:29 PM
End 2010/05/19 06:07:29 PM

************ New Dialogue **************
Start: 2010/05/19 06:10:10 PM
End 2010/05/19 06:10:10 PM

************ New Dialogue **************
Start: 2010/05/19 06:16:47 PM
End 2010/05/19 06:16:47 PM

************ New Dialogue **************
Start: 2010/05/20 12:11:02 PM
End 2010/05/20 12:11:02 PM

************ New Dialogue **************
Start: 2010/05/20 12:13:21 PM
End 2010/05/20 12:13:21 PM

************ New Dialogue **************
Start: 2010/05/20 12:16:18 PM
End 2010/05/20 12:16:18 PM

************ New Dialogue **************
Start: 2010/05/20 12:21:06 PM
End 2010/05/20 12:21:06 PM

************ New Dialogue **************
Start: 2010/05/20 12:27:19 PM
End 2010/05/20 12:27:19 PM

************ New Dialogue **************
Start: 2010/05/23 01:57:55 PM
End 2010/05/23 01:57:55 PM

************ New Dialogue **************
Start: 2010/05/23 01:59:23 PM
End 2010/05/23 01:59:23 PM

************ New Dialogue **************
Start: 2010/05/23 02:02:50 PM
